batch;ordine;titolo;slug;statoComplessivo;corpoPresente;azioneImmagine;idImmagine;giaPresentePrimaDelLotto1;directoryAttualePresente;note
Lotto 2;32;"Il rapporto tra cooperative sociali e PNRR: possibili impieghi e ritorni per il settore";il-rapporto-tra-cooperative-sociali-e-pnrr-possibili-impieghi-e-ritorni-per-il-settore;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;33;"Il ricordo di Don Franco";il-ricordo-di-don-franco;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;34;"Il Terzo Settore cresce: le nuove opportunità per COINSIEME ETS";il-terzo-settore-cresce-le-nuove-opportunita-per-coinsieme-ets;migrabile-subito;SI;;;NO;NO;
Lotto 2;35;"Indicazioni dall'ISTAT sull'andamento del terzo settore";indicazioni-dall-istat-sull-andamento-del-terzo-settore;migrabile-subito;SI;;;NO;NO;
Lotto 2;36;"""Innovazione nell'Inclusione: Come le Tecnologie Stanno Trasformando il Lavoro per i Disabili""";innovazione-nell-inclusione-come-le-tecnologie-stanno-trasformando-il-lavoro-per-i-disabili;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;37;"INPS LANCIA UN PORTALE DI SERVIZIO PER I DISABILI";inps-lancia-un-portale-di-servizio-per-i-disabili;migrabile-subito;SI;;;NO;NO;
Lotto 2;38;"INTESE IN TOSCANA PER LA GESTIONE DEI RIFIUTI CON LE COOPERATIVE SOCIALI";intese-in-toscana-per-la-gestione-dei-rifiuti-con-le-cooperative-sociali;migrabile-subito;SI;;;NO;NO;
Lotto 2;39;"L'accesso on line ai servizi domiciliari di assistenza alla persona";l-accesso-on-line-ai-servizi-domiciliari-di-assistenza-alla-persona;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;40;"L'alluvione in Emilia Romagna";l-alluvione-in-emilia-romagna;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 3;41;"Il Lavoro nell’Integrazione Sociale ed Economica di ogni Individuo";l-importanza-del-lavoro-nell-integrazione-sociale-ed-economica-di-ogni-individuo;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 3;42;"L'importanza delle cooperative sociali e delle associazioni come il CO.IN.";l-importanza-delle-cooperative-sociali-e-delle-associazioni-come-il-coin;migrabile-subito;SI;;;NO;NO;
Lotto 3;43;"L'Inflazione e le Sue Ripercussioni sulle Cooperative Sociali: Una Sfida per l'Aggiornamento dei Ricavi e la Retribuzione Salariale";l-inflazione-e-le-sue-ripercussioni-sulle-cooperative-sociali-una-sfida-per-l-aggiornamento-dei-ricavi-e-la-retribuzione-salariale;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 3;44;"L'ultimo saluto di Don Franco";l-ultimo-saluto-di-don-franco;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 3;45;"LA FAVOLA DI UNA PERSONA DIVERSAMENTE ABILE";la-favola-di-una-persona-diversamente-abile;migrabile-subito;SI;;;NO;NO;
Lotto 3;46;"La Fondazione Coinsieme ETS partecipa alla costruzione del Piano Nazionale per l’Economia Sociale";la-fondazione-coinsieme-ets-partecipa-alla-costruzione-del-piano-nazionale-per-l-economia-sociale;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 3;47;"La Pericolosa Retorica di Trump e le Politiche Inclusive: Un ritorno al medioevo";la-pericolosa-retorica-di-trump-e-le-politiche-inclusive-un-ritorno-al-medioevo;migrabile-senza-immagine;SI;;;NO;NO;
